Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	4.0839e-004	-8.8292e-003	7.2962e-002	2.2557e-002
2	3.6111e-003	9.5833e-003	7.2546e-002	-0.19652
3	-7.8479e-004	1.1716e-002	7.1911e-002	4.1127e-002
4	2.6471e-003	1.3235e-003	4.4089e-002	1.5817e-002
5	2.0404e-003	-3.8603e-004	4.306e-002	-3.7774e-003
6	5.e-003	9.7421e-004	4.3062e-002	8.5975e-003
7	5.e-003	1.25e-003	4.4444e-002	1.1713e-002
8	2.7328e-003	-1.3748e-004	4.4491e-002	-1.6863e-003
9	5.e-003	-3.7222e-004	4.3296e-002	-2.8986e-003
10	-2.9167e-003	-2.5e-003	4.213e-002	3.6548e-002
11	-5.342e-004	-1.3987e-003	4.3307e-002	3.975e-003
12	-2.6376e-003	-1.2984e-003	4.417e-002	1.5586e-002
13	-2.4167e-003	-2.5e-003	4.4097e-002	3.1847e-002
14	0.	-2.5e-003	4.3056e-002	-2.5823e-004
15	-5.0396e-006	-1.2172e-003	4.4662e-002	3.1986e-005
16	3.2129e-003	-1.1878e-003	4.4141e-002	-1.5913e-002
17	2.6532e-003	-2.5e-003	4.2412e-002	-3.4072e-002
18	5.e-003	-1.5303e-003	4.3063e-002	-1.7291e-002
19	5.e-003	-1.25e-003	4.4444e-002	-1.1934e-002
20	2.9824e-003	-2.5e-003	4.4314e-002	-3.7761e-002
21	5.e-003	-2.5e-003	4.3056e-002	-3.9725e-002
22	2.2048e-003	-1.2821e-003	4.2699e-002	-1.3052e-002
23	7.3396e-004	3.6384e-004	4.2582e-002	1.5708e-003
24	2.7234e-003	1.1231e-003	4.2387e-002	1.3443e-002
25	-3.8059e-003	-1.2145e-003	4.1584e-002	1.6151e-002
26	-8.6259e-004	-3.2888e-004	4.2701e-002	1.5001e-003
27	-2.0926e-003	2.5242e-004	4.2998e-002	-2.5415e-003
28	-5.e-003	-1.25e-003	4.3056e-002	1.2159e-002
29	2.5e-003	2.5e-003	4.3056e-002	3.3369e-002
30	4.8042e-004	1.3838e-003	4.3414e-002	3.6095e-003
31	-5.e-003	2.5e-003	4.3056e-002	-4.0319e-002
32	-2.2142e-003	2.5e-003	4.3049e-002	-2.9725e-002
33	-2.9059e-003	2.5e-003	4.4433e-002	-3.7299e-002
34	-5.e-003	1.25e-003	4.4444e-002	-1.1672e-002
35	-5.e-003	1.5212e-003	4.307e-002	-1.6374e-002
36	-3.1388e-003	1.155e-003	4.445e-002	-1.5269e-002
37	2.371e-003	2.5e-003	4.423e-002	3.1301e-002
38	0.	2.5e-003	4.3056e-002	-2.3065e-004
39	9.4076e-005	1.1782e-003	4.4674e-002	5.1093e-004
40	-5.e-003	3.0595e-004	4.3302e-002	-2.9199e-003
41	-2.6935e-003	1.0836e-004	4.4556e-002	-1.2412e-003
42	-5.e-003	-1.25e-003	4.4444e-002	1.1904e-002
43	-2.7163e-003	1.4038e-003	4.2802e-002	-1.7762e-002
44	3.7426e-003	1.1205e-002	6.1051e-002	-0.14096
45	3.7711e-003	9.4944e-003	6.1385e-002	-0.13663
46	5.e-003	1.0645e-002	6.0635e-002	-0.18108
47	5.e-003	1.1044e-002	6.1538e-002	-0.18896
48	3.7398e-003	9.8515e-003	6.2659e-002	-0.14464
49	5.e-003	9.5683e-003	6.1751e-002	-0.18503
50	8.934e-004	7.4039e-003	6.4025e-002	-3.4084e-002
51	2.5533e-003	8.3817e-003	6.2681e-002	-9.3329e-002
52	1.25e-003	8.75e-003	6.375e-002	-4.906e-002
53	1.25e-003	7.5e-003	6.5e-002	-5.1523e-002
54	2.4386e-003	7.4039e-003	6.4025e-002	-9.2803e-002
55	2.4729e-003	8.6799e-003	6.3874e-002	-9.7422e-002
56	5.e-003	7.812e-003	6.0981e-002	-0.16521
57	3.75e-003	8.1936e-003	6.1909e-002	-0.13126
58	3.3333e-003	6.6573e-003	6.2222e-002	-0.10184
59	5.e-003	6.6573e-003	6.2222e-002	-0.16104
60	5.e-003	8.1455e-003	6.1949e-002	-0.17847
61	3.75e-003	7.1194e-003	6.3087e-002	-0.13051
62	3.7406e-003	8.656e-003	6.3946e-002	-0.14887
63	3.7384e-003	7.4039e-003	6.4025e-002	-0.14354
64	5.e-003	8.4505e-003	6.2932e-002	-0.19072
65	5.e-003	8.6416e-003	6.3988e-002	-0.20221
66	3.75e-003	7.5e-003	6.5e-002	-0.15547
67	5.e-003	7.4039e-003	6.4025e-002	-0.19641
68	3.7464e-003	8.4553e-003	6.2853e-002	-0.13982
69	3.8396e-003	1.1227e-002	5.9754e-002	-0.13938
70	3.9944e-003	9.9643e-003	6.0097e-002	-0.13972
71	2.6767e-003	1.0097e-002	6.0651e-002	-9.6639e-002
72	3.7934e-003	6.8463e-003	6.0553e-002	-0.1088
