Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	-0.22391
3	-4.8966e-002	0.1015	-2.0282e-002	-0.4004
4	-4.4068e-002	0.1015	-2.9445e-002	-0.52261
5	-3.7477e-002	0.1015	-3.7477e-002	-0.58555
6	-2.9445e-002	0.1015	-4.4068e-002	-0.60402
7	-2.0282e-002	0.1015	-4.8966e-002	-0.59278
8	-1.034e-002	0.1015	-5.1982e-002	-0.57318
9	-2.6782e-017	0.1015	-5.3e-002	-0.56425
10	1.034e-002	0.1015	-5.1982e-002	-0.5713
11	2.0282e-002	0.1015	-4.8966e-002	-0.58647
12	2.9445e-002	0.1015	-4.4068e-002	-0.59164
13	3.7477e-002	0.1015	-3.7477e-002	-0.56487
14	4.4068e-002	0.1015	-2.9445e-002	-0.49073
15	4.8966e-002	0.1015	-2.0282e-002	-0.36197
16	5.1982e-002	0.1015	-1.034e-002	-0.19116
17	5.3e-002	0.1015	-3.0777e-017	7.7391e-005
18	5.1982e-002	0.1015	1.034e-002	0.19111
19	4.8966e-002	0.1015	2.0282e-002	0.36096
20	4.4068e-002	0.1015	2.9445e-002	0.48937
21	3.7477e-002	0.1015	3.7477e-002	0.56443
22	2.9445e-002	0.1015	4.4068e-002	0.59181
23	2.0282e-002	0.1015	4.8966e-002	0.58664
24	1.034e-002	0.1015	5.1982e-002	0.57093
25	3.3273e-017	0.1015	5.3e-002	0.56408
26	-1.034e-002	0.1015	5.1982e-002	0.57292
27	-2.0282e-002	0.1015	4.8966e-002	0.59012
28	-2.9445e-002	0.1015	4.4068e-002	0.60226
29	-3.7477e-002	0.1015	3.7477e-002	0.58696
30	-4.4068e-002	0.1015	2.9445e-002	0.52459
31	-4.8966e-002	0.1015	2.0282e-002	0.40459
32	-5.1982e-002	0.1015	1.034e-002	0.22551
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	-0.60878
38	-8.9266e-003	8.9266e-003	-5.2243e-002	-0.63136
39	-1.7721e-002	1.7721e-002	-4.995e-002	-0.63887
40	-2.6227e-002	2.6227e-002	-4.6056e-002	-0.62481
41	-3.4241e-002	3.4241e-002	-4.0455e-002	-0.57828
42	-4.1462e-002	4.1462e-002	-3.3014e-002	-0.49414
43	-4.7439e-002	4.7439e-002	-2.3634e-002	-0.3642
44	-5.1524e-002	5.1524e-002	-1.2423e-002	-0.19725
45	0.	0.	5.3e-002	0.59982
46	9.5185e-003	9.5185e-003	5.2138e-002	0.62048
47	1.8875e-002	1.8875e-002	4.9525e-002	0.62951
48	2.7877e-002	2.7877e-002	4.5076e-002	0.60979
49	3.6259e-002	3.6259e-002	3.8656e-002	0.54984
50	4.3621e-002	4.3621e-002	3.0104e-002	0.44515
51	4.9342e-002	4.9342e-002	1.9349e-002	0.29496
52	5.2573e-002	5.2573e-002	6.713e-003	0.10396
53	5.2573e-002	5.2573e-002	-6.713e-003	-0.10359
54	4.9342e-002	4.9342e-002	-1.9349e-002	-0.29577
55	4.3621e-002	4.3621e-002	-3.0104e-002	-0.44805
56	3.6259e-002	3.6259e-002	-3.8656e-002	-0.55421
57	2.7877e-002	2.7877e-002	-4.5076e-002	-0.61464
58	1.8875e-002	1.8875e-002	-4.9525e-002	-0.63634
59	9.5185e-003	9.5185e-003	-5.2138e-002	-0.62812
60	-5.1524e-002	5.1524e-002	1.2423e-002	0.19514
61	-4.7439e-002	4.7439e-002	2.3634e-002	0.36242
62	-4.1462e-002	4.1462e-002	3.3014e-002	0.48917
63	-3.4241e-002	3.4241e-002	4.0455e-002	0.57364
64	-2.6227e-002	2.6227e-002	4.6056e-002	0.61944
65	-1.7721e-002	1.7721e-002	4.995e-002	0.6297
66	-8.9266e-003	8.9266e-003	5.2243e-002	0.62002
67	0.104	-5.65e-002	0.	-9.0442e-003
68	0.104	-5.5538e-002	-1.0382e-002	-0.11548
69	0.104	-5.2685e-002	-2.041e-002	-0.218
70	0.104	-4.8037e-002	-2.9743e-002	-0.31298
71	0.104	-4.1754e-002	-3.8064e-002	-0.39841
72	0.104	-3.4049e-002	-4.5088e-002	-0.47314
73	0.104	-2.5184e-002	-5.0577e-002	-0.53708
74	0.104	-1.5462e-002	-5.4343e-002	-0.59087
75	0.104	-5.2132e-003	-5.6259e-002	-0.63314
76	0.104	5.2132e-003	-5.6259e-002	-0.66229
77	0.104	1.5462e-002	-5.4343e-002	-0.67374
78	0.104	2.5184e-002	-5.0577e-002	-0.66272
79	0.104	3.4049e-002	-4.5088e-002	-0.62426
80	0.104	4.1754e-002	-3.8064e-002	-0.55467
81	0.104	4.8037e-002	-2.9743e-002	-0.45259
82	0.104	5.2685e-002	-2.041e-002	-0.32045
83	0.104	5.5538e-002	-1.0382e-002	-0.16627
84	0.104	5.65e-002	3.4891e-018	3.4528e-004
85	0.104	5.5538e-002	1.0382e-002	0.16683
86	0.104	5.2685e-002	2.041e-002	0.31969
87	0.104	4.8037e-002	2.9743e-002	0.45045
88	0.104	4.1754e-002	3.8064e-002	0.55097
89	0.104	3.4049e-002	4.5088e-002	0.61891
90	0.104	2.5184e-002	5.0577e-002	0.65638
91	0.104	1.5462e-002	5.4343e-002	0.66654
92	0.104	5.2132e-003	5.6259e-002	0.65425
93	0.104	-5.2132e-003	5.6259e-002	0.62422
94	0.104	-1.5462e-002	5.4343e-002	0.58055
95	0.104	-2.5184e-002	5.0577e-002	0.52497
96	0.104	-3.4049e-002	4.5088e-002	0.45922
97	0.104	-4.1754e-002	3.8064e-002	0.38313
98	0.104	-4.8037e-002	2.9743e-002	0.29671
99	0.104	-5.2685e-002	2.041e-002	0.20082
100	0.104	-5.5538e-002	1.0382e-002	9.7883e-002
101	-0.104	-5.65e-002	0.	-8.9492e-003
102	9.0133e-002	-5.65e-002	0.	-8.9443e-003
103	7.6267e-002	-5.65e-002	0.	-8.8837e-003
104	6.24e-002	-5.65e-002	0.	-8.93e-003
105	4.8533e-002	-5.65e-002	0.	-8.9358e-003
106	3.4667e-002	-5.65e-002	0.	-8.9352e-003
107	2.08e-002	-5.65e-002	0.	-8.9357e-003
108	6.9333e-003	-5.65e-002	0.	-8.9289e-003
109	-6.9333e-003	-5.65e-002	0.	-8.9495e-003
110	-2.08e-002	-5.65e-002	0.	-8.9971e-003
111	-3.4667e-002	-5.65e-002	0.	-8.9992e-003
112	-4.8533e-002	-5.65e-002	0.	-8.954e-003
113	-6.24e-002	-5.65e-002	0.	-8.9838e-003
114	-7.6267e-002	-5.65e-002	0.	-9.0029e-003
115	-9.0133e-002	-5.65e-002	0.	-9.009e-003
116	-0.104	-5.5538e-002	1.0382e-002	9.782e-002
117	-0.104	-5.2685e-002	2.041e-002	0.20078
118	-0.104	-4.8037e-002	2.9743e-002	0.29641
119	-0.104	-4.1754e-002	3.8064e-002	0.38283
120	-0.104	-3.4049e-002	4.5088e-002	0.45862
