Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	-1.2051e-002
3	-4.8966e-002	0.1015	-2.0282e-002	-5.5417e-002
4	-4.4068e-002	0.1015	-2.9445e-002	-0.10998
5	-3.7477e-002	0.1015	-3.7477e-002	-0.15026
6	-2.9445e-002	0.1015	-4.4068e-002	-0.15823
7	-2.0282e-002	0.1015	-4.8966e-002	-0.12037
8	-1.034e-002	0.1015	-5.1982e-002	-3.9746e-002
9	-2.6782e-017	0.1015	-5.3e-002	6.1088e-002
10	1.034e-002	0.1015	-5.1982e-002	0.15922
11	2.0282e-002	0.1015	-4.8966e-002	0.22826
12	2.9445e-002	0.1015	-4.4068e-002	0.25421
13	3.7477e-002	0.1015	-3.7477e-002	0.23621
14	4.4068e-002	0.1015	-2.9445e-002	0.18667
15	4.8966e-002	0.1015	-2.0282e-002	0.12687
16	5.1982e-002	0.1015	-1.034e-002	8.0323e-002
17	5.3e-002	0.1015	-3.0777e-017	6.2992e-002
18	5.1982e-002	0.1015	1.034e-002	8.0504e-002
19	4.8966e-002	0.1015	2.0282e-002	0.12706
20	4.4068e-002	0.1015	2.9445e-002	0.18725
21	3.7477e-002	0.1015	3.7477e-002	0.23695
22	2.9445e-002	0.1015	4.4068e-002	0.2559
23	2.0282e-002	0.1015	4.8966e-002	0.22903
24	1.034e-002	0.1015	5.1982e-002	0.15854
25	3.3273e-017	0.1015	5.3e-002	6.0243e-002
26	-1.034e-002	0.1015	5.1982e-002	-4.3204e-002
27	-2.0282e-002	0.1015	4.8966e-002	-0.11903
28	-2.9445e-002	0.1015	4.4068e-002	-0.15533
29	-3.7477e-002	0.1015	3.7477e-002	-0.15057
30	-4.4068e-002	0.1015	2.9445e-002	-0.11177
31	-4.8966e-002	0.1015	2.0282e-002	-5.7889e-002
32	-5.1982e-002	0.1015	1.034e-002	-1.3131e-002
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	2.1836e-002
38	-8.9266e-003	8.9266e-003	-5.2243e-002	-1.3738e-002
39	-1.7721e-002	1.7721e-002	-4.995e-002	-0.10576
