Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	1.6058e-002
3	-4.8966e-002	0.1015	-2.0282e-002	3.087e-002
4	-4.4068e-002	0.1015	-2.9445e-002	4.4213e-002
5	-3.7477e-002	0.1015	-3.7477e-002	5.1915e-002
6	-2.9445e-002	0.1015	-4.4068e-002	5.1424e-002
7	-2.0282e-002	0.1015	-4.8966e-002	4.1578e-002
8	-1.034e-002	0.1015	-5.1982e-002	2.346e-002
9	-2.6782e-017	0.1015	-5.3e-002	4.4207e-004
10	1.034e-002	0.1015	-5.1982e-002	-2.256e-002
11	2.0282e-002	0.1015	-4.8966e-002	-4.0703e-002
12	2.9445e-002	0.1015	-4.4068e-002	-5.0271e-002
13	3.7477e-002	0.1015	-3.7477e-002	-5.0821e-002
14	4.4068e-002	0.1015	-2.9445e-002	-4.3782e-002
15	4.8966e-002	0.1015	-2.0282e-002	-3.0841e-002
16	5.1982e-002	0.1015	-1.034e-002	-1.6222e-002
17	5.3e-002	0.1015	-3.0777e-017	-4.3188e-003
18	5.1982e-002	0.1015	1.034e-002	-1.5762e-002
19	4.8966e-002	0.1015	2.0282e-002	-3.0666e-002
20	4.4068e-002	0.1015	2.9445e-002	-4.388e-002
21	3.7477e-002	0.1015	3.7477e-002	-5.1228e-002
22	2.9445e-002	0.1015	4.4068e-002	-5.0769e-002
23	2.0282e-002	0.1015	4.8966e-002	-4.0942e-002
24	1.034e-002	0.1015	5.1982e-002	-2.2624e-002
25	3.3273e-017	0.1015	5.3e-002	4.9159e-004
26	-1.034e-002	0.1015	5.1982e-002	2.4472e-002
27	-2.0282e-002	0.1015	4.8966e-002	4.2838e-002
28	-2.9445e-002	0.1015	4.4068e-002	5.2705e-002
29	-3.7477e-002	0.1015	3.7477e-002	5.285e-002
30	-4.4068e-002	0.1015	2.9445e-002	4.4931e-002
31	-4.8966e-002	0.1015	2.0282e-002	3.1997e-002
32	-5.1982e-002	0.1015	1.034e-002	1.7149e-002
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	6.076e-004
38	-8.9266e-003	8.9266e-003	-5.2243e-002	3.8846e-002
39	-1.7721e-002	1.7721e-002	-4.995e-002	6.3125e-002
40	-2.6227e-002	2.6227e-002	-4.6056e-002	6.9289e-002
41	-3.4241e-002	3.4241e-002	-4.0455e-002	6.3448e-002
42	-4.1462e-002	4.1462e-002	-3.3014e-002	5.019e-002
43	-4.7439e-002	4.7439e-002	-2.3634e-002	3.344e-002
44	-5.1524e-002	5.1524e-002	-1.2423e-002	1.5452e-002
45	0.	0.	5.3e-002	1.5165e-003
46	9.5185e-003	9.5185e-003	5.2138e-002	-3.9799e-002
47	1.8875e-002	1.8875e-002	4.9525e-002	-6.5355e-002
48	2.7877e-002	2.7877e-002	4.5076e-002	-6.8485e-002
49	3.6259e-002	3.6259e-002	3.8656e-002	-5.9636e-002
50	4.3621e-002	4.3621e-002	3.0104e-002	-4.4789e-002
51	4.9342e-002	4.9342e-002	1.9349e-002	-2.4924e-002
52	5.2573e-002	5.2573e-002	6.713e-003	-6.0223e-003
53	5.2573e-002	5.2573e-002	-6.713e-003	-6.4576e-003
54	4.9342e-002	4.9342e-002	-1.9349e-002	-2.4743e-002
55	4.3621e-002	4.3621e-002	-3.0104e-002	-4.4333e-002
56	3.6259e-002	3.6259e-002	-3.8656e-002	-5.9833e-002
57	2.7877e-002	2.7877e-002	-4.5076e-002	-6.8546e-002
58	1.8875e-002	1.8875e-002	-4.9525e-002	-6.4077e-002
59	9.5185e-003	9.5185e-003	-5.2138e-002	-3.9922e-002
60	-5.1524e-002	5.1524e-002	1.2423e-002	1.5021e-002
61	-4.7439e-002	4.7439e-002	2.3634e-002	3.3912e-002
