Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
102	9.0133e-002	-5.65e-002	0.	-9.5952e-003
103	7.6267e-002	-5.65e-002	0.	-8.4821e-003
104	6.24e-002	-5.65e-002	0.	-7.2217e-003
105	4.8533e-002	-5.65e-002	0.	-5.7405e-003
106	3.4667e-002	-5.65e-002	0.	-4.363e-003
107	2.08e-002	-5.65e-002	0.	-2.9821e-003
108	6.9333e-003	-5.65e-002	0.	-1.6188e-003
109	-6.9333e-003	-5.65e-002	0.	-3.556e-004
110	-2.08e-002	-5.65e-002	0.	1.1514e-003
111	-3.4667e-002	-5.65e-002	0.	2.8689e-003
112	-4.8533e-002	-5.65e-002	0.	4.3861e-003
113	-6.24e-002	-5.65e-002	0.	5.7848e-003
114	-7.6267e-002	-5.65e-002	0.	7.4879e-003
115	-9.0133e-002	-5.65e-002	0.	9.0335e-003
116	-0.104	-5.5538e-002	1.0382e-002	1.4261e-002
117	-0.104	-5.2685e-002	2.041e-002	2.9282e-002
118	-0.104	-4.8037e-002	2.9743e-002	6.2755e-002
119	-0.104	-4.1754e-002	3.8064e-002	0.11149
120	-0.104	-3.4049e-002	4.5088e-002	0.1659
121	-0.104	-2.5184e-002	5.0577e-002	0.21322
122	-0.104	-1.5462e-002	5.4343e-002	0.24052
123	-0.104	-5.2132e-003	5.6259e-002	0.24804
124	-0.104	5.2132e-003	5.6259e-002	0.24377
125	-0.104	1.5462e-002	5.4343e-002	0.24398
126	-0.104	2.5184e-002	5.0577e-002	0.25841
127	-0.104	3.4049e-002	4.5088e-002	0.28618
128	-0.104	4.1754e-002	3.8064e-002	0.30965
129	-0.104	4.8037e-002	2.9743e-002	0.30618
130	-0.104	5.2685e-002	2.041e-002	0.25323
131	-0.104	5.5538e-002	1.0382e-002	0.14836
132	-0.104	5.65e-002	-3.4891e-018	6.1222e-003
133	-0.104	5.5538e-002	-1.0382e-002	-0.13637
134	-0.104	5.2685e-002	-2.041e-002	-0.2445
135	-0.104	4.8037e-002	-2.9743e-002	-0.29769
136	-0.104	4.1754e-002	-3.8064e-002	-0.30146
137	-0.104	3.4049e-002	-4.5088e-002	-0.27723
138	-0.104	2.5184e-002	-5.0577e-002	-0.24874
139	-0.104	1.5462e-002	-5.4343e-002	-0.23375
140	-0.104	5.2132e-003	-5.6259e-002	-0.23313
141	-0.104	-5.2132e-003	-5.6259e-002	-0.23727
142	-0.104	-1.5462e-002	-5.4343e-002	-0.23074
143	-0.104	-2.5184e-002	-5.0577e-002	-0.2032
144	-0.104	-3.4049e-002	-4.5088e-002	-0.15529
145	-0.104	-4.1754e-002	-3.8064e-002	-9.8117e-002
146	-0.104	-4.8037e-002	-2.9743e-002	-4.7354e-002
147	-0.104	-5.2685e-002	-2.041e-002	-1.2372e-002
148	-0.104	-5.5538e-002	-1.0382e-002	5.061e-003
149	0.	0.	5.65e-002	-1.5737e-002
150	0.	0.	-5.65e-002	1.6369e-002
151	-9.5161e-003	9.5161e-003	5.5693e-002	2.4815e-003
152	-1.8891e-002	1.8891e-002	5.3248e-002	-6.9266e-004
153	-2.7959e-002	2.7959e-002	4.9097e-002	-1.6537e-002
154	-3.6502e-002	3.6502e-002	4.3126e-002	-2.3977e-002
155	-4.42e-002	4.42e-002	3.5194e-002	-2.0534e-002
156	-5.0572e-002	5.0572e-002	2.5194e-002	-1.1525e-002
157	-5.4926e-002	5.4926e-002	1.3243e-002	-3.3711e-003
158	-5.65e-002	5.65e-002	-6.9389e-018	2.1411e-004
159	-5.4926e-002	5.4926e-002	-1.3243e-002	4.1472e-003
160	-5.0572e-002	5.0572e-002	-2.5194e-002	1.2721e-002
161	-4.42e-002	4.42e-002	-3.5194e-002	2.1666e-002
162	-3.6502e-002	3.6502e-002	-4.3126e-002	2.5563e-002
163	-2.7959e-002	2.7959e-002	-4.9097e-002	1.8128e-002
164	-1.8891e-002	1.8891e-002	-5.3248e-002	2.7878e-003
165	-9.5161e-003	9.5161e-003	-5.5693e-002	-1.3001e-003
166	5.65e-002	5.65e-002	0.	0.
167	9.5161e-003	9.5161e-003	-5.5693e-002	3.219e-002
168	1.8891e-002	1.8891e-002	-5.3248e-002	2.5709e-002
169	2.7959e-002	2.7959e-002	-4.9097e-002	7.3414e-003
170	3.6502e-002	3.6502e-002	-4.3126e-002	-4.4168e-003
171	4.42e-002	4.42e-002	-3.5194e-002	-6.026e-003
172	5.0572e-002	5.0572e-002	-2.5194e-002	-2.9183e-003
173	5.4926e-002	5.4926e-002	-1.3243e-002	-6.9189e-004
174	5.4926e-002	5.4926e-002	1.3243e-002	3.2107e-004
175	5.0572e-002	5.0572e-002	2.5194e-002	2.5805e-003
176	4.42e-002	4.42e-002	3.5194e-002	4.5759e-003
177	3.6502e-002	3.6502e-002	4.3126e-002	2.1789e-003
178	2.7959e-002	2.7959e-002	4.9097e-002	-1.0175e-002
179	1.8891e-002	1.8891e-002	5.3248e-002	-2.775e-002
180	9.5161e-003	9.5161e-003	5.5693e-002	-3.2756e-002
181	0.104	0.	5.3e-002	-0.26145
182	0.104	1.034e-002	5.1982e-002	-0.26894
183	0.104	2.0282e-002	4.8966e-002	-0.27969
184	0.104	2.9445e-002	4.4068e-002	-0.29608
185	0.104	3.7477e-002	3.7477e-002	-0.30754
186	0.104	4.4068e-002	2.9445e-002	-0.29364
187	0.104	4.8966e-002	2.0282e-002	-0.23586
188	0.104	5.1982e-002	1.034e-002	-0.13584
189	0.104	5.3e-002	2.6782e-017	-5.189e-003
190	0.104	5.1982e-002	-1.034e-002	0.12307
191	0.104	4.8966e-002	-2.0282e-002	0.22353
192	0.104	4.4068e-002	-2.9445e-002	0.28544
193	0.104	3.7477e-002	-3.7477e-002	0.3018
194	0.104	2.9445e-002	-4.4068e-002	0.28911
195	0.104	2.0282e-002	-4.8966e-002	0.27075
196	0.104	1.034e-002	-5.1982e-002	0.25822
197	0.104	3.0777e-017	-5.3e-002	0.25083
198	0.104	-1.034e-002	-5.1982e-002	0.23797
199	0.104	-2.0282e-002	-4.8966e-002	0.21161
200	0.104	-2.9445e-002	-4.4068e-002	0.16717
201	0.104	-3.7477e-002	-3.7477e-002	0.11262
202	0.104	-4.4068e-002	-2.9445e-002	6.1146e-002
203	0.104	-4.8966e-002	-2.0282e-002	2.2931e-002
204	0.104	-5.1982e-002	-1.034e-002	6.0956e-004
205	0.104	-5.3e-002	-3.3273e-017	-1.1553e-002
206	0.104	-5.1982e-002	1.034e-002	-2.1678e-002
207	0.104	-4.8966e-002	2.0282e-002	-4.2906e-002
208	0.104	-4.4068e-002	2.9445e-002	-8.0012e-002
209	0.104	-3.7477e-002	3.7477e-002	-0.12999
210	0.104	-2.9445e-002	4.4068e-002	-0.18251
211	0.104	-2.0282e-002	4.8966e-002	-0.22497
212	0.104	-1.034e-002	5.1982e-002	-0.25055
213	9.1e-002	0.	5.3e-002	-0.22414
214	7.8e-002	0.	5.3e-002	-0.1867
215	6.5e-002	0.	5.3e-002	-0.14814
216	5.2e-002	0.	5.3e-002	-0.11028
217	3.9e-002	0.	5.3e-002	-7.4621e-002
218	2.6e-002	0.	5.3e-002	-4.2723e-002
219	1.3e-002	0.	5.3e-002	-2.311e-002
220	-0.104	0.	5.3e-002	0.2396
221	-1.3e-002	0.	5.3e-002	-5.5356e-003
222	-2.6e-002	0.	5.3e-002	1.6315e-002
223	-3.9e-002	0.	5.3e-002	4.5432e-002
224	-5.2e-002	0.	5.3e-002	8.1484e-002
