Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	4.0839e-004	-8.8292e-003	7.2962e-002	-1.0902e-003
2	3.6111e-003	9.5833e-003	7.2546e-002	-1.3889e-003
3	-7.8479e-004	1.1716e-002	7.1911e-002	-1.4047e-003
4	2.6471e-003	1.3235e-003	4.4089e-002	3.1848e-004
5	2.0404e-003	-3.8603e-004	4.306e-002	-8.6923e-004
6	5.e-003	9.7421e-004	4.3062e-002	7.8073e-004
7	5.e-003	1.25e-003	4.4444e-002	1.0798e-003
8	2.7328e-003	-1.3748e-004	4.4491e-002	-7.7227e-004
9	5.e-003	-3.7222e-004	4.3296e-002	-1.1856e-003
10	-2.9167e-003	-2.5e-003	4.213e-002	1.6158e-003
11	-5.342e-004	-1.3987e-003	4.3307e-002	-4.1264e-004
12	-2.6376e-003	-1.2984e-003	4.417e-002	3.2289e-004
13	-2.4167e-003	-2.5e-003	4.4097e-002	1.0812e-003
14	0.	-2.5e-003	4.3056e-002	-6.1532e-004
15	-5.0396e-006	-1.2172e-003	4.4662e-002	-6.5598e-004
16	3.2129e-003	-1.1878e-003	4.4141e-002	-1.7334e-003
17	2.6532e-003	-2.5e-003	4.2412e-002	-2.5974e-003
18	5.e-003	-1.5303e-003	4.3063e-002	-2.8787e-003
19	5.e-003	-1.25e-003	4.4444e-002	-2.4154e-003
20	2.9824e-003	-2.5e-003	4.4314e-002	-2.7372e-003
21	5.e-003	-2.5e-003	4.3056e-002	-4.2952e-003
22	2.2048e-003	-1.2821e-003	4.2699e-002	-1.4644e-003
23	7.3396e-004	3.6384e-004	4.2582e-002	-5.5599e-004
24	2.7234e-003	1.1231e-003	4.2387e-002	2.7347e-004
25	-3.8059e-003	-1.2145e-003	4.1584e-002	8.2097e-004
26	-8.6259e-004	-3.2888e-004	4.2701e-002	-5.4703e-004
27	-2.0926e-003	2.5242e-004	4.2998e-002	-7.978e-004
28	-5.e-003	-1.25e-003	4.3056e-002	1.2101e-003
29	2.5e-003	2.5e-003	4.3056e-002	1.1677e-003
30	4.8042e-004	1.3838e-003	4.3414e-002	-4.7174e-004
31	-5.e-003	2.5e-003	4.3056e-002	-4.3547e-003
32	-2.2142e-003	2.5e-003	4.3049e-002	-2.3005e-003
33	-2.9059e-003	2.5e-003	4.4433e-002	-2.7346e-003
34	-5.e-003	1.25e-003	4.4444e-002	-2.4443e-003
35	-5.e-003	1.5212e-003	4.307e-002	-2.9017e-003
36	-3.1388e-003	1.155e-003	4.445e-002	-1.7005e-003
37	2.371e-003	2.5e-003	4.423e-002	9.7907e-004
38	0.	2.5e-003	4.3056e-002	-6.724e-004
39	9.4076e-005	1.1782e-003	4.4674e-002	-6.5522e-004
40	-5.e-003	3.0595e-004	4.3302e-002	-1.0985e-003
41	-2.6935e-003	1.0836e-004	4.4556e-002	-7.5223e-004
42	-5.e-003	-1.25e-003	4.4444e-002	1.1075e-003
43	-2.7163e-003	1.4038e-003	4.2802e-002	-1.7844e-003
44	3.7426e-003	1.1205e-002	6.1051e-002	-9.0962e-004
45	3.7711e-003	9.4944e-003	6.1385e-002	-1.1764e-003
46	5.e-003	1.0645e-002	6.0635e-002	-9.2338e-004
47	5.e-003	1.1044e-002	6.1538e-002	-8.6021e-004
48	3.7398e-003	9.8515e-003	6.2659e-002	-1.1755e-003
49	5.e-003	9.5683e-003	6.1751e-002	-1.1952e-003
50	8.934e-004	7.4039e-003	6.4025e-002	-1.2664e-003
