Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	-1.5538e-002
3	-4.8966e-002	0.1015	-2.0282e-002	-3.4937e-002
4	-4.4068e-002	0.1015	-2.9445e-002	-6.1155e-002
5	-3.7477e-002	0.1015	-3.7477e-002	-9.034e-002
6	-2.9445e-002	0.1015	-4.4068e-002	-0.11934
7	-2.0282e-002	0.1015	-4.8966e-002	-0.14375
8	-1.034e-002	0.1015	-5.1982e-002	-0.15897
9	-2.6782e-017	0.1015	-5.3e-002	-0.16203
10	1.034e-002	0.1015	-5.1982e-002	-0.15257
11	2.0282e-002	0.1015	-4.8966e-002	-0.13184
12	2.9445e-002	0.1015	-4.4068e-002	-0.1036
13	3.7477e-002	0.1015	-3.7477e-002	-7.3426e-002
14	4.4068e-002	0.1015	-2.9445e-002	-4.5792e-002
15	4.8966e-002	0.1015	-2.0282e-002	-2.4009e-002
16	5.1982e-002	0.1015	-1.034e-002	-9.6541e-003
17	5.3e-002	0.1015	-3.0777e-017	-2.092e-004
18	5.1982e-002	0.1015	1.034e-002	9.6306e-003
19	4.8966e-002	0.1015	2.0282e-002	2.4151e-002
20	4.4068e-002	0.1015	2.9445e-002	4.6176e-002
21	3.7477e-002	0.1015	3.7477e-002	7.4066e-002
22	2.9445e-002	0.1015	4.4068e-002	0.10526
23	2.0282e-002	0.1015	4.8966e-002	0.13385
24	1.034e-002	0.1015	5.1982e-002	0.15488
25	3.3273e-017	0.1015	5.3e-002	0.16499
26	-1.034e-002	0.1015	5.1982e-002	0.16176
27	-2.0282e-002	0.1015	4.8966e-002	0.14623
28	-2.9445e-002	0.1015	4.4068e-002	0.12097
29	-3.7477e-002	0.1015	3.7477e-002	9.1268e-002
30	-4.4068e-002	0.1015	2.9445e-002	6.1662e-002
31	-4.8966e-002	0.1015	2.0282e-002	3.6233e-002
32	-5.1982e-002	0.1015	1.034e-002	1.7337e-002
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	-0.17009
38	-8.9266e-003	8.9266e-003	-5.2243e-002	-0.16462
39	-1.7721e-002	1.7721e-002	-4.995e-002	-0.14657
40	-2.6227e-002	2.6227e-002	-4.6056e-002	-0.12229
41	-3.4241e-002	3.4241e-002	-4.0455e-002	-9.3901e-002
42	-4.1462e-002	4.1462e-002	-3.3014e-002	-6.411e-002
43	-4.7439e-002	4.7439e-002	-2.3634e-002	-3.5913e-002
44	-5.1524e-002	5.1524e-002	-1.2423e-002	-1.4932e-002
45	0.	0.	5.3e-002	0.17342
46	9.5185e-003	9.5185e-003	5.2138e-002	0.16146
47	1.8875e-002	1.8875e-002	4.9525e-002	0.13604
48	2.7877e-002	2.7877e-002	4.5076e-002	0.10321
49	3.6259e-002	3.6259e-002	3.8656e-002	6.9303e-002
50	4.3621e-002	4.3621e-002	3.0104e-002	3.8188e-002
51	4.9342e-002	4.9342e-002	1.9349e-002	1.4644e-002
52	5.2573e-002	5.2573e-002	6.713e-003	4.9432e-003
53	5.2573e-002	5.2573e-002	-6.713e-003	-4.5972e-003
54	4.9342e-002	4.9342e-002	-1.9349e-002	-1.4581e-002
55	4.3621e-002	4.3621e-002	-3.0104e-002	-3.7529e-002
56	3.6259e-002	3.6259e-002	-3.8656e-002	-6.8382e-002
57	2.7877e-002	2.7877e-002	-4.5076e-002	-0.10165
58	1.8875e-002	1.8875e-002	-4.9525e-002	-0.13352
59	9.5185e-003	9.5185e-003	-5.2138e-002	-0.15816
60	-5.1524e-002	5.1524e-002	1.2423e-002	1.4074e-002
61	-4.7439e-002	4.7439e-002	2.3634e-002	3.5994e-002
62	-4.1462e-002	4.1462e-002	3.3014e-002	6.4836e-002
63	-3.4241e-002	3.4241e-002	4.0455e-002	9.5467e-002
